"","month","death","population","crude_rate"
"1","2018/01",87912,325927236,26.97
"2","2018/02",72061,326031740,22.1
"3","2018/03",76612,326140981,23.49
"4","2018/04",71535,326260373,21.93
"5","2018/05",69984,326392347,21.44
"6","2018/06",66519,326533251,20.37
"7","2018/07",67677,326687501,20.72
"8","2018/08",66910,326850358,20.47
"9","2018/09",65025,327011652,19.88
"10","2018/10",70680,327170529,21.6
"11","2018/11",71837,327310325,21.95
"12","2018/12",77082,327431120,23.54
"13","2019/01",79765,327540066,24.35
"14","2019/02",71977,327635482,21.97
"15","2019/03",78643,327733545,24
"16","2019/04",72270,327842998,22.04
"17","2019/05",72343,327964770,22.06
"18","2019/06",67984,328095474,20.72
"19","2019/07",68996,328239523,21.02
"20","2019/08",67910,328409545,20.68
"21","2019/09",66560,328578004,20.26
"22","2019/10",71501,328744045,21.75
"23","2019/11",73059,328891009,22.21
"24","2019/12",78875,329018969,23.97
"25","2020/01",80587,329342883,24.47
"26","2020/02",74686,329459499,22.67
"27","2020/03",79246,329588430,24.04
"28","2020/04",81543,326260373,24.99
"29","2020/05",74495,326392347,22.82
"30","2020/06",70749,326533251,21.67
"31","2020/07",75401,326687501,23.08
"32","2020/08",74611,326850358,22.83
"33","2020/09",71721,327011652,21.93
"34","2020/10",75851,327170529,23.18
"35","2020/11",77524,327310325,23.69
"36","2020/12",86823,327431120,26.52
