"region","month","crude_rate","death","population"
"Northeast","2018/01","Not Applicable",49809,"Not Applicable"
"Northeast","2018/02","Not Applicable",42412,"Not Applicable"
"Northeast","2018/03","Not Applicable",44056,"Not Applicable"
"Northeast","2018/04","Not Applicable",41723,"Not Applicable"
"Northeast","2018/05","Not Applicable",40085,"Not Applicable"
"Northeast","2018/06","Not Applicable",38683,"Not Applicable"
"Northeast","2018/07","Not Applicable",39639,"Not Applicable"
"Northeast","2018/08","Not Applicable",39245,"Not Applicable"
"Northeast","2018/09","Not Applicable",38335,"Not Applicable"
"Northeast","2018/10","Not Applicable",42444,"Not Applicable"
"Northeast","2018/11","Not Applicable",41111,"Not Applicable"
"Northeast","2018/12","Not Applicable",44089,"Not Applicable"
"Northeast","2019/01","Not Applicable",46133,"Not Applicable"
"Northeast","2019/02","Not Applicable",41358,"Not Applicable"
"Northeast","2019/03","Not Applicable",45082,"Not Applicable"
"Northeast","2019/04","Not Applicable",41044,"Not Applicable"
"Northeast","2019/05","Not Applicable",40697,"Not Applicable"
"Northeast","2019/06","Not Applicable",38906,"Not Applicable"
"Northeast","2019/07","Not Applicable",39841,"Not Applicable"
"Northeast","2019/08","Not Applicable",39481,"Not Applicable"
"Northeast","2019/09","Not Applicable",38452,"Not Applicable"
"Northeast","2019/10","Not Applicable",41722,"Not Applicable"
"Northeast","2019/11","Not Applicable",41857,"Not Applicable"
"Northeast","2019/12","Not Applicable",45191,"Not Applicable"
"Northeast","2020/01","Not Applicable",46104,"Not Applicable"
"Northeast","2020/02","Not Applicable",42564,"Not Applicable"
"Northeast","2020/03","Not Applicable",51633,"Not Applicable"
"Northeast","2020/04","Not Applicable",94088,"Not Applicable"
"Northeast","2020/05","Not Applicable",57482,"Not Applicable"
"Northeast","2020/06","Not Applicable",41440,"Not Applicable"
"Northeast","2020/07","Not Applicable",41262,"Not Applicable"
"Northeast","2020/08","Not Applicable",40725,"Not Applicable"
"Northeast","2020/09","Not Applicable",40602,"Not Applicable"
"Northeast","2020/10","Not Applicable",43244,"Not Applicable"
"Northeast","2020/11","Not Applicable",47901,"Not Applicable"
"Northeast","2020/12","Not Applicable",61639,"Not Applicable"
"Midwest","2018/01","Not Applicable",65615,"Not Applicable"
"Midwest","2018/02","Not Applicable",54293,"Not Applicable"
"Midwest","2018/03","Not Applicable",56722,"Not Applicable"
"Midwest","2018/04","Not Applicable",54127,"Not Applicable"
"Midwest","2018/05","Not Applicable",52405,"Not Applicable"
"Midwest","2018/06","Not Applicable",49786,"Not Applicable"
"Midwest","2018/07","Not Applicable",51070,"Not Applicable"
"Midwest","2018/08","Not Applicable",51012,"Not Applicable"
"Midwest","2018/09","Not Applicable",50587,"Not Applicable"
"Midwest","2018/10","Not Applicable",54060,"Not Applicable"
"Midwest","2018/11","Not Applicable",53636,"Not Applicable"
"Midwest","2018/12","Not Applicable",56339,"Not Applicable"
"Midwest","2019/01","Not Applicable",58499,"Not Applicable"
"Midwest","2019/02","Not Applicable",52407,"Not Applicable"
"Midwest","2019/03","Not Applicable",57680,"Not Applicable"
"Midwest","2019/04","Not Applicable",53271,"Not Applicable"
"Midwest","2019/05","Not Applicable",54104,"Not Applicable"
"Midwest","2019/06","Not Applicable",51010,"Not Applicable"
"Midwest","2019/07","Not Applicable",52210,"Not Applicable"
"Midwest","2019/08","Not Applicable",51933,"Not Applicable"
"Midwest","2019/09","Not Applicable",51381,"Not Applicable"
"Midwest","2019/10","Not Applicable",54933,"Not Applicable"
"Midwest","2019/11","Not Applicable",54953,"Not Applicable"
"Midwest","2019/12","Not Applicable",58112,"Not Applicable"
"Midwest","2020/01","Not Applicable",60095,"Not Applicable"
"Midwest","2020/02","Not Applicable",55691,"Not Applicable"
"Midwest","2020/03","Not Applicable",60483,"Not Applicable"
"Midwest","2020/04","Not Applicable",66879,"Not Applicable"
