"region","month","crude_rate","death","population","covid"
"Northeast","2018/01",88.81056586304,49809,56084543,0
"Northeast","2018/02",75.6215487037132,42412,56084543,0
"Northeast","2018/03",78.5528376329999,44056,56084543,0
"Northeast","2018/04",74.3930462266582,41723,56084543,0
"Northeast","2018/05",71.47245543215,40085,56084543,0
"Northeast","2018/06",68.9726579389262,38683,56084543,0
"Northeast","2018/07",70.6772274136209,39639,56084543,0
"Northeast","2018/08",69.9747165631714,39245,56084543,0
"Northeast","2018/09",68.352166121778,38335,56084543,0
"Northeast","2018/10",75.6786054225315,42444,56084543,0
"Northeast","2018/11",73.3018364792595,41111,56084543,0
"Northeast","2018/12",78.6116773742812,44089,56084543,0
"Northeast","2019/01",82.3760412266972,46133,56002934,0
"Northeast","2019/02",73.8497022316724,41358,56002934,0
"Northeast","2019/03",80.4993538374257,45082,56002934,0
"Northeast","2019/04",73.2890173218425,41044,56002934,0
"Northeast","2019/05",72.6694069278585,40697,56002934,0
"Northeast","2019/06",69.4713601969497,38906,56002934,0
"Northeast","2019/07",71.1409155813158,39841,56002934,0
"Northeast","2019/08",70.4980921178165,39481,56002934,0
"Northeast","2019/09",68.6606883846478,38452,56002934,0
"Northeast","2019/10",74.4996681780994,41722,56002934,0
"Northeast","2019/11",74.7407269769116,41857,56002934,0
"Northeast","2019/12",80.6939864972074,45191,56002934,0
"Northeast","2020/01",82.5498802870961,46104,55849869,1
"Northeast","2020/02",76.2114589740577,42564,55849869,1
"Northeast","2020/03",92.4496349311043,51633,55849869,1
"Northeast","2020/06",74.1989206814433,41440,55849869,1
"Northeast","2020/07",73.8802091012962,41262,55849869,1
"Northeast","2020/08",72.9187028173692,40725,55849869,1
"Northeast","2020/09",72.6984695344585,40602,55849869,1
"Northeast","2020/10",77.4290088307996,43244,55849869,1
"Northeast","2020/11",85.7674348349859,47901,55849869,1
"Midwest","2018/01",96.1208586452937,65615,68263019,0
"Midwest","2018/02",79.5350114825715,54293,68263019,0
"Midwest","2018/03",83.0933070803681,56722,68263019,0
"Midwest","2018/04",79.291834426485,54127,68263019,0
"Midwest","2018/05",76.7692387000932,52405,68263019,0
"Midwest","2018/06",72.9326079176194,49786,68263019,0
"Midwest","2018/07",74.8135677972285,51070,68263019,0
"Midwest","2018/08",74.7286023198007,51012,68263019,0
"Midwest","2018/09",74.1060104593382,50587,68263019,0
"Midwest","2018/10",79.1936846508356,54060,68263019,0
"Midwest","2018/11",78.5725577123977,53636,68263019,0
"Midwest","2018/12",82.5322419449395,56339,68263019,0
"Midwest","2019/01",85.5998274863286,58499,68340091,0
"Midwest","2019/02",76.6855870882583,52407,68340091,0
"Midwest","2019/03",84.401409415741,57680,68340091,0
"Midwest","2019/04",77.9498523055815,53271,68340091,0
"Midwest","2019/05",79.1687561551535,54104,68340091,0
"Midwest","2019/06",74.6413989996004,51010,68340091,0
"Midwest","2019/07",76.3973229125492,52210,68340091,0
"Midwest","2019/08",75.9919971426435,51933,68340091,0
"Midwest","2019/09",75.1842721426871,51381,68340091,0
"Midwest","2019/10",80.3818069250157,54933,68340091,0
"Midwest","2019/11",80.4110723235648,54953,68340091,0
"Midwest","2019/12",85.0335420244026,58112,68340091,0
"Midwest","2020/01",87.9652578290324,60095,68316744,1
"Midwest","2020/02",81.5188147725542,55691,68316744,1
"Midwest","2020/03",88.5332005869601,60483,68316744,1
"Midwest","2020/04",97.895473472799,66879,68316744,1
"Midwest","2020/05",92.9069453310011,63471,68316744,1
"Midwest","2020/06",81.9154964411067,55962,68316744,1
"Midwest","2020/07",84.0569919432928,57425,68316744,1
"Midwest","2020/08",86.0740669959329,58803,68316744,1
"Midwest","2020/09",84.2619197425451,57565,68316744,1
"Midwest","2020/10",95.5212385414621,65257,68316744,1
"South","2018/01",91.4510805031043,113993,124649156,0
"South","2018/02",75.1228512128875,93640,124649156,0
"South","2018/03",77.4060596126299,96486,124649156,0
"South","2018/04",72.6912262446446,90609,124649156,0
"South","2018/05",72.7794739340233,90719,124649156,0
"South","2018/06",69.9571523773494,87201,124649156,0
"South","2018/07",71.4557585933434,89069,124649156,0
"South","2018/08",71.5728873447005,89215,124649156,0
"South","2018/09",69.4188414721396,86530,124649156,0
"South","2018/10",73.5897481728637,91729,124649156,0
"South","2018/11",74.0831329816625,92344,124649156,0
"South","2018/12",79.7678886810914,99430,124649156,0
"South","2019/01",80.0300468123302,100587,125686544,0
"South","2019/02",72.8836970805721,91605,125686544,0
"South","2019/03",79.4922008516679,99911,125686544,0
"South","2019/04",74.2641153375973,93340,125686544,0
"South","2019/05",74.8019612982596,94016,125686544,0
"South","2019/06",71.5271477271266,89900,125686544,0
"South","2019/07",72.7054759338438,91381,125686544,0
"South","2019/08",72.1747906442554,90714,125686544,0
"South","2019/09",70.1809415652323,88208,125686544,0
"South","2019/10",74.386642375973,93494,125686544,0
"South","2019/11",75.4273265720474,94802,125686544,0
"South","2019/12",80.8153337401019,101574,125686544,0
"South","2020/01",82.1472743281739,104050,126662754,1
"South","2020/02",76.1170880588938,96412,126662754,1
"South","2020/03",81.9996381888238,103863,126662754,1
"South","2020/04",84.3373419782109,106824,126662754,1
"South","2020/05",84.1991798157176,106649,126662754,1
"South","2020/06",79.9761546318502,101300,126662754,1
"South","2020/07",95.9477006160785,121530,126662754,1
"South","2020/08",94.7863489530632,120059,126662754,1
"South","2020/09",84.5323480018443,107071,126662754,1
"South","2020/10",88.1419331842414,111643,126662754,1
"South","2020/11",92.3649583681087,116992,126662754,1
"West","2018/01",73.6458238763469,57327,77841481,0
"West","2018/02",59.933340682457,46653,77841481,0
"West","2018/03",66.2127689990893,51541,77841481,0
"West","2018/04",60.0001431113573,46705,77841481,0
"West","2018/05",58.5330589997382,45563,77841481,0
"West","2018/06",57.0813908332499,44433,77841481,0
"West","2018/07",58.2375867180636,45333,77841481,0
"West","2018/08",57.5297379041388,44782,77841481,0
"West","2018/09",55.5539276032017,43244,77841481,0
"West","2018/10",58.6705178438216,45670,77841481,0
"West","2018/11",59.4593003696834,46284,77841481,0
"West","2018/12",63.4905700214003,49422,77841481,0
"West","2019/01",66.9600802979459,52430,78300384,0
"West","2019/02",60.601235365589,47451,78300384,0
"West","2019/03",66.7378591655438,52256,78300384,0
"West","2019/04",60.7902510414253,47599,78300384,0
"West","2019/05",61.3994434561138,48076,78300384,0
"West","2019/06",58.2449250823597,45606,78300384,0
"West","2019/07",58.465869081817,45779,78300384,0
"West","2019/08",57.6651067254025,45152,78300384,0
"West","2019/09",57.0546371777691,44674,78300384,0
"West","2019/10",60.6791404752242,47512,78300384,0
"West","2019/11",60.5565357125196,47416,78300384,0
"West","2019/12",65.2589392154194,51098,78300384,0
"West","2020/01",68.4167146866491,53813,78654756,1
"West","2020/02",63.2689013745081,49764,78654756,1
"West","2020/03",67.7136421350033,53260,78654756,1
"West","2020/04",68.7663438940679,54088,78654756,1
"West","2020/05",66.8109630903947,52550,78654756,1
"West","2020/06",65.2102970098846,51291,78654756,1
"West","2020/07",73.9840830476926,58192,78654756,1
"West","2020/08",72.6516779226929,57144,78654756,1
"West","2020/09",65.4683869339064,51494,78654756,1
"West","2020/10",67.7632259135099,53299,78654756,1
"West","2020/11",74.9147324288947,58924,78654756,1
